08/20/2025 06:58:43 P,CHAR LENGHT,ID,VISIBILITY,"DATE 
ADDED",SKU,NAME,ADDITIONAL NOTES,APPLICATION NOTES,PART NUMBER,PRODUCT CATEGORY,TYPE,(OLD UPC),GTIN,YEAR,PRIMARY OEM,"Additional 
OEM#",Catalog Group,MANUFACTURER,MAKE 1,ENGINE 1,ENGINE 1,ENGINE 1,ENGINE 1,ENGINE 1,ENGINE 1,ENGINE 1,Condition,IS REMAN?,ASSOCIATED CORE,CORE TYPE,JUMPFLY CATEGORY,VENDOR,VENDOR PART NUMBER,NEW QB,QB ACCOUNT,WARRANTY, PRICE , Drive On Diesel Price , VENDOR COST , ACTUAL COST , EST COST ,PROFIT,PROFIT  %,WEIGHT,"CHARGE CORE
UPFRONT",HAS CORE, CORE PRICE ,"GROUP 
NUMBER",ADF,PRICE,Non Stocking Distributor, PRICE ,Stocking Distributor, PRICE ,Non Stocking WD, PRICE ,Stocking WD, PRICE ,10%, PRICE ,15%, PRICE 
03/09/2024 12:31:53 A,,8102,Both,5/27/2023,1839053RM,"International Navistar VT365, DT466E Engine Control Module (ECM) 2003-2004: OEM 1839053C2",ECM,,1839053RM,Sensors / Modules / Electrical,Engine Control Module (ECM),,00840490517646,2003-2004,1839053C2,1839993C93,N6,Tamerx Diesel Products,International Navistar,VT365,DT466E,,,,,,,Yes,"1839053RM#C, 1839053RM-C30",In House Core,Modules,Tamerx,1839053C2,Modules/Sensors,Modules/Sensors,One Million Miles or One Year," $ 1,135.00 "," $ 1,135.00 ", $ 275.00 , $ 325.00 , $ 325.00 ,$810.00,71.37%,4,NO,YES, $ 500.00 ,,FIXED PRICE,$794.50,0%," $ 1,135.00 ",15.00%, $ 964.75 ,15.00%, $ 964.75 ,20.00%, $ 908.00 ,10.00%," $ 1,021.50 ",15.00%, $ 964.75 
,,11719,Both,8/4/2024,3683289RM,Cummins ISX Engine Control Module (ECM) 2003-2007: OEM 3683289,,,3683289RM,Sensors / Modules / Electrical,Engine Control Module (ECM),,00840490530058,2003-2007,3683289,,C6,Tamerx Diesel Products,Cummins,ISX,,,,,,,Remanufactured,Yes,"3683289RM#C, 3683289RM-C30",In House Core,Modules,Tamerx,3683289,Modules/Sensors,Modules/Sensors,One Million Miles or One Year," $ 1,595.00 "," $ 1,595.00 ", $ 500.00 , $ 500.00 , $ 500.00 ,"$1,095.00",68.65%,5,NO,YES, $ 500.00 ,,FIXED PRICE,"$1,116.50",0%," $ 1,595.00 ",15.00%," $ 1,355.75 ",0%," $ 1,595.00 ",20.00%," $ 1,276.00 ",10.00%," $ 1,435.50 ",15.00%," $ 1,355.75 "
,,12270,Both,10/21/2024,209-9587RM,Caterpillar 3126 Engine Control Module (ECM) 1998-2007: OEM 209-9587,,"D5N, 950G, 140H, 160H",209-9587RM,Sensors / Modules / Electrical,Engine Control Module (ECM),,00840490531970,1998-2007,209-9587,,,Tamerx Diesel Products,Caterpillar,3126,,,,,,,Remanufactured,Yes,"209-9587RM#C, 209-9587RM-C30",Vendor R & R,Modules,Tamerx,,Modules/Sensors,Modules/Sensors,"D5N, 950G, 140H, 160H"," $ 1,895.00 "," $ 1,895.00 ", $ 650.00 , $ 650.00 , $ 650.00 ,"$1,245.00",65.70%,2,NO,YES, $ 500.00 ,,,,0%," $ 1,895.00 ",15.00%," $ 1,610.75 ",0%," $ 1,895.00 ",20.00%," $ 1,516.00 ",10.00%," $ 1,705.50 ",15.00%," $ 1,610.75 "
08/20/2025 08:42:20 P,,3830,Both,3/19/2019,5010978R1,"International Navistar MaxxForce 11, 13 Fan Clutch 2011-2015: OEM 5010978R1",,,5010978R1,Engine Components,Fan Clutch,086547487665,00840490504097,2011-2015,5010978R1,,N3,Navistar,International Navistar,MaxxForce 11,13,,,,,,,Yes,"5010978R1#C, 5010978R1-C30",Vendor Return,Others,Tamerx,,Engine Parts/Other,Engine Parts/Other,One Million Miles or One Year," $ 1,040.00 "," $ 1,040.00 ", $ 850.00 , $ 850.00 , $ 850.00 ,$190.00,18.27%,22,NO,YES, $ 300.00 ,,FIXED PRICE,$884.00,0%," $ 1,040.00 ",15.00%, $ 884.00 ,15.00%, $ 884.00 ,15.00%, $ 884.00 ,10.00%, $ 936.00 ,15.00%, $ 884.00 
08/23/2024 09:45:20 P,,7653,Both,3/21/2023,A4710151103TX,Detroit DD13 Flywheel Housing 2007-2016: OEM A471051103,,,A4710151103TX,Engine Components,Flywheel Housing,,00840490515901,2007-2016,A471051103,"A4710152502, A4710152702",D2,Tamerx Diesel Products,Detroit,DD13,,,,,,,,Yes,"A4710151103TX#C, A4710151103TX-C30",In House Core,Others,Tamerx,A4710152502,Engine Parts/Other,Engine Parts/Other,One Million Miles or One Year, $ 565.00 , $ 565.00 , $ 200.00 , $ 220.00 , $ 220.00 ,$345.00,61.06%,36,NO,YES, $ 250.00 ,,FIXED PRICE,$480.25,0%, $ 565.00 ,15.00%, $ 480.25 ,15.00%, $ 480.25 ,20.00%, $ 452.00 ,10.00%, $ 508.50 ,15.00%, $ 480.25 
05/21/2024 03:34:24 A,,11156,Both,4/29/2024,1832311RM,Paccar MX13 Fuel Doser Injector 2014-2023: OEM 1832311PE,,EPA13,1832311RM,Aftertreatment,Fuel Doser Injector,,00840490528062,2014-2023,1832311PE,,P1,Tamerx Diesel Products,Paccar,MX13,,,,,,,Remanufactured,Yes,"1832311RM#C, 1832311RM-C30",In House Core,Others,Tamerx,1832311,Engine Parts/Other,Engine Parts/Other,One Million Miles or One Year, $ 499.00 , $ 499.00 , $ 125.00 , $ 125.00 , $ 125.00 ,$374.00,74.95%,3,NO,YES, $ 150.00 ,,FIXED PRICE,$424.15,0%, $ 499.00 ,15.00%, $ 424.15 ,15.00%, $ 424.15 ,25.00%, $ 374.25 ,10.00%, $ 449.10 ,15.00%, $ 424.15 
05/21/2024 03:34:27 A,,11159,Both,4/29/2024,1832312RM,Paccar MX13 Fuel Doser Injector 2014-2017: OEM 1832312PE,,EPA13,1832312RM,Aftertreatment,Fuel Doser Injector,,00840490528079,2014-2017,1832312PE,,P1,Tamerx Diesel Products,Paccar,MX13,,,,,,,Remanufactured,Yes,"1832312RM#C, 1832312RM-C30",In House Core,Others,Tamerx,1832312,Engine Parts/Other,Engine Parts/Other,One Million Miles or One Year, $ 499.00 , $ 499.00 , $ 125.00 , $ 125.00 , $ 125.00 ,$374.00,74.95%,3,NO,YES, $ 150.00 ,,FIXED PRICE,$424.15,0%, $ 499.00 ,15.00%, $ 424.15 ,20.00%, $ 399.20 ,25.00%, $ 374.25 ,10.00%, $ 449.10 ,15.00%, $ 424.15 
05/21/2024 03:35:49 A,,11162,Both,4/29/2024,1834591RM,Paccar MX13 Fuel Doser Injector 2010-2013: OEM 1834591PE,,EPA10,1834591RM,Aftertreatment,Fuel Doser Injector,,00840490528086,2010-2013,1834591PE,1834592,P1,Tamerx Diesel Products,Paccar,MX13,,,,,,,Remanufactured,Yes,"1834591RM#C, 1834591RM-C30",In House Core,Others,Tamerx,1834591,Engine Parts/Other,Engine Parts/Other,One Million Miles or One Year, $ 499.00 , $ 499.00 , $ 125.00 , $ 125.00 , $ 125.00 ,$374.00,74.95%,3,NO,YES, $ 150.00 ,,FIXED PRICE,$424.15,0%, $ 499.00 ,15.00%, $ 424.15 ,15.00%, $ 424.15 ,25.00%, $ 374.25 ,10.00%, $ 449.10 ,15.00%, $ 424.15 
07/14/2025 11:09:56 A,,11168,Both,4/29/2024,4309349RM,Cummins ISX15 Fuel Doser Injector 2013-2022: OEM 5633617RX,,,4309349RM,Aftertreatment,Fuel Doser Injector,,00840490528109,2013-2022,5633617RX,"4309349RX, 5294110",C1,Tamerx Diesel Products,Cummins,ISX15,,,,,,,Remanufactured,Yes,"4309349RM#C, 4309349RM-C30",In House Core,Others,Tamerx,4309349,Engine Parts/Other,Engine Parts/Other,One Million Miles or One Year, $ 395.00 , $ 395.00 , $ 125.00 , $ 125.00 , $ 125.00 ,$270.00,68.35%,3,NO,YES, $ 150.00 ,,FIXED PRICE,$335.75,0%, $ 395.00 ,15.00%, $ 335.75 ,15.00%, $ 335.75 ,25.00%, $ 296.25 ,10.00%, $ 355.50 ,15.00%, $ 335.75 
05/24/2024 08:58:36 P,,11174,Both,4/29/2024,4309454RM,Cummins ISX15 Fuel Doser Injector 2007-2013: OEM 4309454RX,,,4309454RM,Aftertreatment,Fuel Doser Injector,,00840490528123,2007-2013,4309454RX,"4955465, 4309454, 4972999, 3683570, 5300987",C1,Tamerx Diesel Products,Cummins,ISX15,,,,,,,Remanufactured,Yes,"4309454RM#C, 4309454RM-C30",In House Core,Others,Tamerx,4309454,Engine Parts/Other,Engine Parts/Other,One Million Miles or One Year, $ 395.00 , $ 395.00 , $ 125.00 , $ 125.00 , $ 125.00 ,$270.00,68.35%,3,NO,YES, $ 150.00 ,,FIXED PRICE,$335.75,0%, $ 395.00 ,15.00%, $ 335.75 ,15.00%, $ 335.75 ,25.00%, $ 296.25 ,10.00%, $ 355.50 ,15.00%, $ 335.75 
,,8057,Both,5/24/2023,2883323,Cummins ISL Fuel Flow Valve 2010-2013: OEM 2883323,,,2883323,Fuel System,Fuel Flow Valve,,00840490517417,2010-2013,2883323,,C3,Tamerx Diesel Products,Cummins,ISL,,,,,,,,Yes,"2883323#C, 2883323-C30",Market Core,Others,Tamerx,2883323,Engine Parts/Other,Engine Parts/Other,One Million Miles or One Year," $ 1,515.00 "," $ 1,515.00 "," $ 1,250.00 "," $ 1,250.00 "," $ 1,250.00 ",$265.00,17.49%,4,NO,YES, $ 300.00 ,,FIXED PRICE,"$1,287.75",0%," $ 1,515.00 ",15.00%," $ 1,287.75 ",15.00%," $ 1,287.75 ",20.00%," $ 1,212.00 ",10.00%," $ 1,363.50 ",15.00%," $ 1,287.75 "
11/08/2023 07:57:35 P,,5945,Both,5/23/2022,2897372RM,Cummins ISX15 Fuel Gear Pump 2011-2016: OEM 2897372,"Fuel Lines Down, Located on High Pressure Pump",,2897372RM,Fuel Pumps,Fuel Gear Pump,086547494328,00840490509313,2011-2016,2897372,,C1,Tamerx Diesel Products,Cummins,ISX15,,,,,,,,Yes,"2897372RM#C, 2897372RM-C30",In House Core,Pumps,Tamerx,2897372,Diesel Pumps,Diesel Pumps,One Million Miles or One Year," $ 1,195.00 "," $ 1,195.00 ",, $ 75.00 , $ 75.00 ,"$1,120.00",93.72%,12,NO,YES, $ 500.00 ,,FIXED PRICE,$486.50,0%," $ 1,195.00 ",15.00%," $ 1,015.75 ",15.00%," $ 1,015.75 ",25.00%, $ 896.25 ,10.00%," $ 1,075.50 ",15.00%," $ 1,015.75 "
06/23/2025 07:17:06 P,,6015,Both,7/21/2022,4307482RM,"Cummins ISX15, QSX15 Fuel Gear Pump 2014-2020: OEM 4307482RX","EPA2013, Fuel Lines up, Located on High Pressure Pump",,4307482RM,Fuel Pumps,Fuel Gear Pump,086547492874,00840490509450,2014-2020,4307482RX,"4307482, 4307438",C1,Tamerx Diesel Products,Cummins,ISX15,QSX15,,,,,,,Yes,"4307482RM#C, 4307482RM-C30",In House Core,Pumps,Tamerx,,Diesel Pumps,Diesel Pumps,One Million Miles or One Year," $ 1,195.00 "," $ 1,195.00 ",, $ 175.00 , $ 175.00 ,"$1,020.00",85.36%,18,NO,YES, $ 250.00 ,,FIXED PRICE,$486.50,0%," $ 1,195.00 ",15.00%," $ 1,015.75 ",25.00%, $ 896.25 ,25.00%, $ 896.25 ,10.00%," $ 1,075.50 ",15.00%," $ 1,015.75 "
,,6160,Both,8/3/2022,P5491145RM,Cummins X15 Fuel Gear Pump 2019-2021: OEM 5491782RX,Lines to rear,,P5491145RM,Fuel Pumps,Fuel Gear Pump,086547495226,00840490510074,2019-2021,5491782RX,5654005,C1,Tamerx Diesel Products,Cummins,X15,,,,,,,Remanufactured,Yes,"P5491145RM#C, P5491145RM-C30",In House Core,Pumps,Tamerx,,Diesel Pumps,Diesel Pumps,One Million Miles or One Year," $ 1,250.00 "," $ 1,250.00 ",, $ 300.00 , $ 300.00 ,$950.00,76.00%,12,NO,YES, $ 500.00 ,,FIXED PRICE,$472.50,0%," $ 1,250.00 ",15.00%," $ 1,062.50 ",15.00%," $ 1,062.50 ",25.00%, $ 937.50 ,10.00%," $ 1,125.00 ",15.00%," $ 1,062.50 "
09/04/2024 03:01:08 A,,7548,Both,2/6/2023,A0040911601RM,"Detroit DD13, DD15 Fuel Gear Pump 2010-2020: OEM A0040911601",,,A0040911601RM,Fuel Pumps,Fuel Gear Pump,86547501620,00840490515581,2010-2020,A0040911601,,D2,Tamerx Diesel Products,Detroit,DD13,DD15,,,,,,,Yes,"A0040911601RM#C, A0040911601RM-C30",In House Core,Pumps,Tamerx,A0040911601,Diesel Pumps,Diesel Pumps,One Million Miles or One Year, $ 495.00 , $ 495.00 , $ 250.00 , $ 275.00 , $ 275.00 ,$220.00,44.44%,6,NO,YES, $ 500.00 ,,FIXED PRICE,$420.75,0%, $ 495.00 ,15.00%, $ 420.75 ,15.00%, $ 420.75 ,25.00%, $ 371.25 ,10.00%, $ 445.50 ,15.00%, $ 420.75 
02/09/2024 11:39:23 P,,7551,Both,2/6/2023,4089074RM,"Cummins 8.9L, ISC, 8.3L Fuel Gear Pump 2003-2007: OEM 4089074RX",Mounted on CAPS Pump,,4089074RM,Fuel Pumps,Fuel Gear Pump,86547501637,00840490515598,2003-2007,4089074RX,,C3,Tamerx Diesel Products,Cummins,8.9L,ISC,8.3L,,,,,,Yes,"4089074RM#C, 4089074RM-C30",In House Core,Pumps,Tamerx,4089074RM,Diesel Pumps,Diesel Pumps,One Million Miles or One Year," $ 1,660.00 "," $ 1,660.00 ", $ 350.00 , $ 375.00 , $ 375.00 ,"$1,285.00",77.41%,18,NO,YES, $ 500.00 ,,FIXED PRICE,"$1,245.00",15.00%," $ 1,411.00 ",15.00%," $ 1,411.00 ",25.00%," $ 1,245.00 ",25.00%," $ 1,245.00 ",10.00%," $ 1,494.00 ",15.00%," $ 1,411.00 "
,,10988,Both,4/12/2024,2872831RM,Cummins ISX15 Fuel Gear Pump 2011-2012: OEM 2872831,Used with 3 Cylinder 8 head bolt pump,,2872831RM,Fuel Pumps,Fuel Gear Pump,,00840490527553,2011-2012,2872831,,C1,Tamerx Diesel Products,Cummins,ISX15,,,,,,,,Yes,"2872831RM#C, 2872831RM-C30",In House Core,Pumps,Tamerx,2872831,Diesel Pumps,Diesel Pumps,One Million Miles or One Year," $ 1,195.00 "," $ 1,195.00 ", $ 450.00 , $ 450.00 , $ 450.00 ,$745.00,62.34%,12,NO,YES, $ 250.00 ,,FIXED PRICE,$896.25,0%," $ 1,195.00 ",15.00%," $ 1,015.75 ",15.00%," $ 1,015.75 ",25.00%, $ 896.25 ,10.00%," $ 1,075.50 ",15.00%," $ 1,015.75 "
08/15/2023 04:04:35 A,,3710,Both,5/30/2018,3014431RM,International Navistar MaxxForce 15 Fuel Injector 2012-2014 : OEM 3014431C91,,,3014431RM,Diesel Fuel Injectors,Fuel Injector,086547484763,00840490503526,2012-2014,3014431C91,,N3,Tamerx Diesel Products,International Navistar,MaxxForce 15,,,,,,,,Yes,"3014431RM#C, 3014431RM-C30",Market Core,Fuel Injectors,Tamerx,,Diesel Injectors,Diesel Injectors,One Million Miles or One Year, $ 426.00 , $ 426.00 ,, $ 175.00 , $ 175.00 ,$251.00,58.92%,2,NO,YES, $ 150.00 ,,FIXED PRICE,$381.65,0%, $ 426.00 ,15.00%, $ 362.10 ,15.00%, $ 362.10 ,25.00%, $ 319.50 ,10.00%, $ 383.40 ,15.00%, $ 362.10 
,,4127,Both,11/20/2020,0986445008RM,Mack E7 Fuel Injector 2001-2002: OEM 313GC5233M,,,0986445008RM,Diesel Fuel Injectors,Fuel Injector,086547482097,00840490505971,2001-2002,313GC5233M,,,Tamerx Diesel Products,Mack,E7,,,,,,,,Yes,"0986445008RM#C, 0986445008RM-C30",In House Core,Fuel Injectors,Tamerx,,Diesel Injectors,Diesel Injectors,One Million Miles or One Year, $ 375.00 , $ 375.00 , $ 250.00 , $ 150.00 , $ 150.00 ,$225.00,60.00%,4,NO,YES, $ 250.00 ,,FIXED PRICE,$276.50,0%, $ 375.00 ,15.00%, $ 318.75 ,15.00%, $ 318.75 ,25.00%, $ 281.25 ,10.00%, $ 337.50 ,15.00%, $ 318.75 
09/01/2025 01:14:48 A,,6758,Both,11/29/2022,5254261RM,Cummins ISB 6.7L Fuel Injector 2013-2021: OEM 5254261RX,"Freightliner School Bus, Thomas School Bus, International School Bus, Volvo Industrial, CPL# 3094, 3095, 3096, 3610, 3614, 3670, 3962, 4189, 4222, 4515, 4516, 4563","Freightliner School Bus, Thomas School Bus, International School Bus, Volvo Industrial, CPL# 3094, 3095, 3096, 3610, 3614, 3670, 3962, 4189, 4222, 4515, 4516, 4563",5254261RM,Diesel Fuel Injectors,Fuel Injector,86547498265,00840490512276,2013-2021,5254261RX,"5506180,5579332, 5254261RX, 5254261PX, 6755113100",C2,Tamerx Diesel Products,Cummins,ISB 6.7L,,,,,,,,Yes,"5254261RM#C, 5254261RM-C30",Vendor Return,Fuel Injectors,Tamerx,5254261,Diesel Injectors,Diesel Injectors,One Million Miles or One Year, $ 375.00 , $ 375.00 , $ 275.00 , $ 275.00 , $ 275.00 ,$100.00,26.67%,1,NO,YES, $ 250.00 ,,FIXED PRICE,$318.75,0%, $ 375.00 ,15.00%, $ 318.75 ,15.00%, $ 318.75 ,25.00%, $ 281.25 ,10.00%, $ 337.50 ,15.00%, $ 318.75 
02/15/2024 12:01:48 A,,8093,Both,5/26/2023,20R5079RM,Caterpillar C7.1 Fuel Injector 2010-2023: OEM 456-3544,,,20R5079RM,Diesel Fuel Injectors,Fuel Injector,,00840490517615,2010-2023,456-3544,20R5079,,Tamerx Diesel Products,Caterpillar,C7.1,,,,,,,,Yes,"20R5079RM#C, 20R5079RM-C30",In House Core,Fuel Injectors,Tamerx,20R5079,Diesel Injectors,Diesel Injectors,One Million Miles or One Year," $ 1,135.00 "," $ 1,135.00 ", $ 650.00 , $ 650.00 , $ 650.00 ,$485.00,42.73%,2,NO,YES, $ 250.00 ,,FIXED PRICE,$851.25,0%," $ 1,135.00 ",15.00%, $ 964.75 ,20.00%, $ 908.00 ,25.00%, $ 851.25 ,10.00%," $ 1,021.50 ",15.00%, $ 964.75 
09/12/2025 02:57:12 A,,8647,Both,8/14/2023,2517613C91,International Navistar A26 Fuel Injector 2016-2019: OEM 2517613C91,,,2517613C91,Diesel Fuel Injectors,Fuel Injector,,00840490519640,2016-2019,2517613C91,"7096773C91, 0 445 124 045",N3,Tamerx Diesel Products,International Navistar,A26,,,,,,,,Yes,"2517613C91#C, 2517613C91-C30",Vendor R & R,Fuel Injectors,Tamerx,2517613C91,Diesel Injectors,Diesel Injectors,One Million Miles or One Year, $ 425.00 , $ 425.00 , $ 550.00 , $ 338.00 , $ 338.00 ,$87.00,20.47%,2,NO,YES, $ 325.00 ,,FIXED PRICE,$505.75,0%, $ 425.00 ,15.00%, $ 361.25 ,20.00%, $ 340.00 ,25.00%, $ 318.75 ,10.00%, $ 382.50 ,15.00%, $ 361.25 
09/01/2025 01:28:44 A,,8993,Both,12/11/2023,7386500RM,"Bobcat / Doosan D18 DM01, D24 DM02 Fuel Injector 2020-2024: OEM 7386500",,Bobcat,7386500RM,Diesel Fuel Injectors,Fuel Injector,,00840490520783,2020-2024,7386500,400903-00223,BD4,Tamerx Diesel Products,Bobcat / Doosan,D18 DM01,D24 DM02,,,,,,Remanufactured,Yes,"7386500RM#C, 7386500RM-C30",In House Core,Fuel Injectors,Tamerx,0 445 110 968,Diesel Injectors,Diesel Injectors,One Million Miles or One Year, $ 495.00 , $ 495.00 , $ 207.00 , $ 225.00 , $ 225.00 ,$270.00,54.55%,1,NO,YES, $ 250.00 ,,FIXED PRICE,$505.75,0%, $ 495.00 ,15.00%, $ 420.75 ,20.00%, $ 396.00 ,25.00%, $ 371.25 ,10.00%, $ 445.50 ,15.00%, $ 420.75 
,,9317,Both,2/16/2024,0R3421RM,Caterpillar 3406B Fuel Injector : OEM 0R3421,,,0R3421RM,Diesel Fuel Injectors,Fuel Injector,,00840490521926,,0R3421,"0R1744, 4W7017, 8N7007",,Tamerx Diesel Products,Caterpillar,3406B,,,,,,,Remanufactured,Yes,"0R3421RM#C, 0R3421RM-C30",In House Core,Fuel Injectors,Tamerx,4W7017,Diesel Injectors,Diesel Injectors,One Million Miles or One Year, $ 159.95 , $ 159.95 , $ 93.00 , $ 93.00 , $ 93.00 ,$66.95,41.86%,1,NO,YES, $ 150.00 ,,FIXED PRICE,$135.96,0%, $ 159.95 ,15.00%, $ 135.96 ,15.00%, $ 135.96 ,25.00%, $ 119.96 ,10.00%, $ 143.96 ,15.00%, $ 135.96 
,,9835,Both,2/20/2024,3014431RM-SET,International Navistar MaxxForce 15 Fuel Injector 2012-2014: OEM 3014431C91 ( Set of 6 ),,,3014431RM-SET,Diesel Fuel Injectors,Fuel Injector,,00840490523685,2012-2014,3014431C91,,N3,Tamerx Diesel Products,International Navistar,MaxxForce 15,,,,,,,,Yes,"3014431RM-SET#C, 3014431RM-SET-C30",Market Core,Fuel Injectors,Tamerx,,Diesel Injectors,Diesel Injectors,One Million Miles or One Year," $ 2,556.00 "," $ 2,556.00 ",," $ 1,050.00 "," $ 1,050.00 ","$1,506.00",58.92%,9,NO,YES, $ 900.00 ,,FIXED PRICE,"$1,917.00",0%," $ 2,556.00 ",15.00%," $ 2,172.60 ",15.00%," $ 2,172.60 ",25.00%," $ 1,917.00 ",10.00%," $ 2,300.40 ",15.00%," $ 2,172.60 "
,,10035,Both,2/21/2024,0986445008RM-SET,Mack E7 Fuel Injector 2001-2002: OEM 313GC5233M ( Set of 6 ),,,0986445008RM-SET,Diesel Fuel Injectors,Fuel Injector,,00840490524347,2001-2002,313GC5233M,,,Tamerx Diesel Products,Mack,E7,,,,,,,,Yes,"0986445008RM-SET#C, 0986445008RM-SET-C30",In House Core,Fuel Injectors,Tamerx,,Diesel Injectors,Diesel Injectors,One Million Miles or One Year," $ 2,250.00 "," $ 2,250.00 ", $ 250.00 , $ 900.00 , $ 900.00 ,"$1,350.00",60.00%,24,NO,YES," $ 1,500.00 ",,FIXED PRICE,"$1,687.50",0%," $ 2,250.00 ",15.00%," $ 1,912.50 ",15.00%," $ 1,912.50 ",25.00%," $ 1,687.50 ",10.00%," $ 2,025.00 ",15.00%," $ 1,912.50 "
09/01/2025 01:16:04 A,,10553,Both,2/26/2024,5254261RM-SET,Cummins ISB 6.7L Fuel Injector 2013-2021: OEM 5254261RX ( Set of 6 ),,,5254261RM-SET,Diesel Fuel Injectors,Fuel Injector,,00840490526068,2013-2021,5254261RX,"5506180,5579332, 5254261RX, 5254261PX, 6755113100",C2,Tamerx Diesel Products,Cummins,ISB 6.7L,,,,,,,,Yes,"5254261RM-SET#C, 5254261RM-SET-C30",Vendor Return,Fuel Injectors,Tamerx,5254261,Diesel Injectors,Diesel Injectors,One Million Miles or One Year," $ 2,250.00 "," $ 2,250.00 ", $ 275.00 ," $ 1,650.00 "," $ 1,650.00 ",$600.00,26.67%,8,NO,YES," $ 1,500.00 ",,FIXED PRICE,"$1,687.50",0%," $ 2,250.00 ",15.00%," $ 1,912.50 ",15.00%," $ 1,912.50 ",25.00%," $ 1,687.50 ",10.00%," $ 2,025.00 ",15.00%," $ 1,912.50 "
08/23/2024 11:04:00 P,,10642,Both,2/26/2024,5263262-SET,"Cummins QSB 6.7L, 4.5L Fuel Injector 2007-2015: OEM 5263262RX ( Set of 6 )",,,5263262-SET,Diesel Fuel Injectors,Fuel Injector,,00840490526372,2007-2015,5263262RX,"0445120231, 0445120059, 3976372, 6754-11-3011, 6754-11-3102, 0986435597",C2,Cummins,Cummins,QSB 6.7L,4.5L,,,,,,Genuine New,Yes,"5263262-SET#C, 5263262-SET-C30",In House Core,Fuel Injectors,Tamerx,,Diesel Injectors,Diesel Injectors,One Million Miles or One Year," $ 2,706.00 "," $ 2,706.00 ",, $ 750.00 , $ 750.00 ,"$1,956.00",72.28%,9,NO,YES, $ 900.00 ,,FIXED PRICE,"$2,300.10",0%," $ 2,706.00 ",15.00%," $ 2,300.10 ",15.00%," $ 2,300.10 ",20.00%," $ 2,164.80 ",10.00%," $ 2,435.40 ",15.00%," $ 2,300.10 "
08/23/2024 09:54:38 P,,10651,Both,2/26/2024,98087985RM-SET,Isuzu 4JJ1 Fuel Injector 2011-2016: OEM 8-98087985-1 ( Set of 4 ),,,98087985RM-SET,Diesel Fuel Injectors,Fuel Injector,,00840490526402,2011-2016,8-98087985-1,0 445 120 216,,Tamerx Diesel Products,Isuzu,4JJ1,,,,,,,,Yes,"98087985RM-SET#C, 98087985RM-SET-C30",In House Core,Fuel Injectors,Tamerx,445120216,Diesel Injectors,Diesel Injectors,One Million Miles or One Year," $ 1,980.00 "," $ 1,980.00 ", $ 150.00 , $ 900.00 , $ 900.00 ,"$1,080.00",54.55%,12,NO,YES, $ 750.00 ,,FIXED PRICE,"$1,485.00",0%," $ 1,980.00 ",15.00%," $ 1,683.00 ",15.00%," $ 1,683.00 ",25.00%," $ 1,485.00 ",10.00%," $ 1,782.00 ",15.00%," $ 1,683.00 "
,,10753,Both,2/27/2024,20R5079RM-SET,Caterpillar C7.1 Fuel Injector 2010-2023: OEM 456-3544 ( Set of 6 ),,,20R5079RM-SET,Diesel Fuel Injectors,Fuel Injector,,00840490526761,2010-2023,456-3544,20R5079,,Tamerx Diesel Products,Caterpillar,C7.1,,,,,,,,Yes,"20R5079RM-SET#C, 20R5079RM-SET-C30",In House Core,Fuel Injectors,Tamerx,20R5079,Diesel Injectors,Diesel Injectors,One Million Miles or One Year," $ 6,810.00 "," $ 6,810.00 ", $ 650.00 ," $ 3,900.00 "," $ 3,900.00 ","$2,910.00",42.73%,12,NO,YES," $ 1,500.00 ",,FIXED PRICE,"$5,107.50",0%," $ 6,810.00 ",15.00%," $ 5,788.50 ",15.00%," $ 5,788.50 ",25.00%," $ 5,107.50 ",10.00%," $ 6,129.00 ",15.00%," $ 5,788.50 "
09/12/2025 02:57:33 A,,10810,Both,2/27/2024,2517613C91-SET,International Navistar A26 Fuel Injector 2016-2019: OEM 2517613C91 ( Set of 6 ),,,2517613C91-SET,Diesel Fuel Injectors,Fuel Injector,,00840490526945,2016-2019,2517613C91,"7096773C91,0 445 124 045",N3,Tamerx Diesel Products,International Navistar,A26,,,,,,,,Yes,"2517613C91-SET#C, 2517613C91-SET-C30",Vendor R & R,Fuel Injectors,Tamerx,2517613C91,Diesel Injectors,Diesel Injectors,One Million Miles or One Year," $ 2,550.00 "," $ 2,550.00 "," $ 2,028.00 "," $ 2,028.00 "," $ 3,300.00 ",$522.00,20.47%,12,NO,YES," $ 1,950.00 ",,FIXED PRICE,"$3,034.50",0%," $ 2,550.00 ",15.00%," $ 2,167.50 ",15.00%," $ 2,167.50 ",25.00%," $ 1,912.50 ",10.00%," $ 2,295.00 ",15.00%," $ 2,167.50 "
